names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group
TAP1	7.290888	1.3866818	3.0791944342844444e-13	4.0432427215954894e-11	0.5239320638188368
ENSG00000225218	7.222591	1.5976741	5.100623956841856e-13	6.503418748450585e-11	0.4683479155944416
EPG5	7.139881	1.0408856	9.341165890477592e-13	1.1684426130207352e-10	0.705609881626351
MGAT3	6.954061	1.3344213	3.5491784836249403e-12	4.1265844809829535e-10	0.51672671127123
NFIB	6.948961	1.9670007	3.679862612459365e-12	4.241162180377293e-10	0.4148224395265054
ABTB2	6.9052224	1.5746707	5.012486427340023e-12	5.727036981679014e-10	0.4503345342254246
LDB2	6.8716836	4.8107376	6.344847389846959e-12	7.095743947467407e-10	0.29130211013896035
B4GALT5	6.860375	1.2082859	6.868004786376365e-12	7.536071114411546e-10	0.5393721049922799
EXO1	6.800283	1.2446399	1.0441400520599612e-11	1.1157080321465002e-09	0.5177560473494596
TP53INP1	6.680209	1.1679002	2.386012380754765e-11	2.469569598637667e-09	0.5604734945959856
PARP14	6.647613	1.9608748	2.978839234774454e-11	3.0355406920232495e-09	0.39732372619660317
SATB1-AS1	6.5311985	1.0082188	6.524547626228547e-11	6.330970055112134e-09	0.6402470406587751
LINC02100	6.5139027	1.0061848	7.322300965513588e-11	7.027545068465459e-09	0.6366443643849717
TMEM140	6.4418364	1.4948326	1.180365587052902e-10	1.093101366283763e-08	0.4467318579516212
CORIN	6.42005	1.0966184	1.3622949107039056e-10	1.2441193625677573e-08	0.5913535769428718
USP4	6.4045835	1.005129	1.5078033172652763e-10	1.3675413385767163e-08	0.6031909418425115
BCAT1	6.370934	1.1733232	1.878802547243525e-10	1.669603893245736e-08	0.5409161091096243
ZEB2	6.326974	3.16668	2.5001582912943223e-10	2.191899785094519e-08	0.29541945445187856
ENSG00000226965	6.325976	1.7953863	2.516370381857459e-10	2.191899785094519e-08	0.4153371075656202
NCAM2	6.2824035	1.2212178	3.3337806846191785e-10	2.82921137006926e-08	0.4945959855892949
FGD4	6.261504	1.1228426	3.812811773806821e-10	3.1946520998756646e-08	0.5579001544004117
TNFRSF1B	6.2142735	1.2522104	5.156273734569664e-10	4.279545052720036e-08	0.47967061245496656
ENSG00000282885	6.179127	2.233782	6.445699834846621e-10	5.218446495125977e-08	0.33350488934637157
FBXO32	6.120975	1.0057862	9.300440803618774e-10	7.305551611009235e-08	0.6155429747812661
LINC01138	6.107615	1.0767435	1.0113082891801446e-09	7.850429316568105e-08	0.5270200720535255
MBNL2	6.091816	1.010581	1.1163693094332115e-09	8.615302685342325e-08	0.6011322696860525
TIMM44	6.086938	1.1120948	1.1509072382972316e-09	8.855945988448639e-08	0.49871332990221307
GPR132	6.085053	1.745673	1.1645285733169342e-09	8.934710068474954e-08	0.3793103448275862
MIR34AHG	6.0815606	1.0331011	1.190184736689753e-09	9.10508572621816e-08	0.5800308800823469
ICAM1	6.0120997	1.2093545	1.8313566089957582e-09	1.3463786902848203e-07	0.48327328872876996
LSP1	5.881216	1.091295	4.072626207084487e-09	2.874032713464729e-07	0.4909933093154915
ITGB8	5.870406	1.1823326	4.347283595171824e-09	3.0283965548846653e-07	0.5120946989191971
NABP1	5.7473946	1.0514668	9.062896645683284e-09	5.950174904714402e-07	0.5151827071538857
TEX9	5.744235	1.1790397	9.233750965888347e-09	6.047304943987374e-07	0.4714359238291302
SERTAD2	5.6562586	1.0603464	1.5470824858993036e-08	9.495848383800074e-07	0.48841996911991764
TIGAR	5.6098037	1.146053	2.0255629109361275e-08	1.2317398500428437e-06	0.45856922285126095
ENSG00000286162	5.581587	1.028341	2.3833385762062092e-08	1.4167444829236595e-06	0.521358723623263
ENSG00000249631	5.566176	4.6934285	2.6039046879029846e-08	1.5340369738353454e-06	0.2326299536798765
DIO2	5.5610204	2.1645527	2.682019252128779e-08	1.5765375082724913e-06	0.3000514668039115
FLNB	5.5521507	1.0521108	2.8217624316177366e-08	1.6476720322497107e-06	0.5090066906845085
RIN3	5.5073586	1.1186543	3.642575658573521e-08	2.0899673773202378e-06	0.46731857951621203
IL21R	5.4624557	1.1184996	4.695922623913944e-08	2.658929133287084e-06	0.4467318579516212
DDX31	5.414504	1.1440638	6.145879401983773e-08	3.3863923811389914e-06	0.4431291816778178
PLEKHM3	5.3652773	1.1444674	8.082494522398723e-08	4.3174696657438975e-06	0.4390118373648996
LINC01237	5.3554654	1.03925	8.533656638192015e-08	4.513603199434907e-06	0.4662892434379825
S1PR2	5.335841	1.7288135	9.510270674689164e-08	4.99015057489207e-06	0.3072568193515183
WNT10A	5.302136	2.347135	1.1445540832269421e-07	5.958227991836032e-06	0.2748327328872877
ENSG00000287460	5.2697616	1.2994337	1.3660091026927067e-07	6.945858541591579e-06	0.38394235717961916
NCOA5	5.231234	1.1123084	1.6838213406252193e-07	8.400963448605181e-06	0.42923314462171896
DCBLD2	5.1996913	1.6770368	1.9961986218207949e-07	9.829416086887359e-06	0.31652084405558417
AMZ2	5.1801777	1.0497874	2.2167438727250374e-07	1.0735141473914111e-05	0.48584662892434377
CTNNBL1	5.174468	1.0496415	2.2856123218844829e-07	1.1008059491149117e-05	0.4518785383427689
ENTPD1	5.077012	1.0442805	3.834160925006432e-07	1.7629792559877136e-05	0.4662892434379825
ADAM7-AS1	5.0265102	1.1959863	4.994852267394074e-07	2.2343921337852846e-05	0.41585177560473496
MBOAT2	4.9773393	1.0097032	6.446432630818261e-07	2.8122429161187825e-05	0.4436438497169326
MTG2	4.917746	1.127914	8.754646749292085e-07	3.661828710840982e-05	0.38548636129696345
ENSG00000285280	4.9128675	1.807135	8.975392260480259e-07	3.742299019444794e-05	0.30056613484302624
ENSG00000243004	4.9103727	1.3110535	9.090334820740365e-07	3.7842461659905435e-05	0.37159032424086463
TAPT1-AS1	4.90932	1.6700972	9.139290502182969e-07	3.798634554710474e-05	0.3000514668039115
ZFAT	4.903721	1.6087651	9.403819615996592e-07	3.896311006671869e-05	0.3103448275862069
ZBP1	4.835147	1.4413606	1.330473839133638e-06	5.3285578203723984e-05	0.31960885229027275
ZNF44	4.816077	1.0626103	1.4640804425437203e-06	5.8020232912997615e-05	0.42563046834791557
ADA	4.7956767	1.004034	1.6212657583892819e-06	6.386577188234077e-05	0.4024704065877509
PPP1R16B	4.7682915	1.2373506	1.8579479363399949e-06	7.19014954308233e-05	0.36541430777148737
ENSG00000233420	4.749499	2.2667966	2.0392133687001304e-06	7.82281372675909e-05	0.24909933093154915
CLU	4.745286	1.4670708	2.082121782768218e-06	7.929789352467761e-05	0.3139475038600103
MVB12B	4.7261605	2.4618418	2.2880483755254867e-06	8.626922967892023e-05	0.22799794132784354
ABCB1	4.676379	1.1319197	2.9198427210123703e-06	0.00010673602345661979	0.3896037056098816
LINC00954	4.672	1.2405058	2.982810662462192e-06	0.00010873663234028264	0.35254760679361813
KIF3B	4.616121	1.0486369	3.90979304720547e-06	0.00013832596232559512	0.4050437467833248
CPEB2	4.6080275	1.2524394	4.065073669168811e-06	0.0001430526524671632	0.35717961914565105
TSHR	4.486845	1.5000341	7.228559439149373e-06	0.00023670393210604144	0.32166752444673186
ZCCHC4	4.4434943	1.4199756	8.85094363403686e-06	0.0002824703208381316	0.27946474523932063
DPY19L2P3	4.414058	1.3513529	1.0145068158024321e-05	0.000316126073075249	0.32372619660319096
PARP12	4.3878927	1.2806822	1.1445428097213025e-05	0.0003516637762162321	0.31446217189912506
ENSG00000289405	4.342768	1.069647	1.4069868496062053e-05	0.00042102725534758024	0.38085434894493053
METTL25	4.338278	1.118095	1.4360361744785715e-05	0.0004292333267611884	0.34276891405043747
ABCD2	4.293375	1.3018486	1.7597748232237004e-05	0.0005132125625341782	0.2974781266083376
ENSG00000249998	4.2898827	27.237303	1.787677027077884e-05	0.0005202002180338104	0.1724137931034483
CSAD	4.2801814	1.1919419	1.8674117815022404e-05	0.00054280395538754	0.3314462171899125
LMO7	4.2631073	1.1335526	2.0160384894099367e-05	0.0005789913367899507	0.35512094698919194
ZNF700	4.253683	1.0754887	2.1028290707691612e-05	0.0005993517026437415	0.3468862583633556
ENSG00000285744	4.236498	3.125107	2.270329426595167e-05	0.0006422379909552651	0.19557385486361298
CHST7	4.1720266	1.0556703	3.0190262264653114e-05	0.0008231524710237497	0.36284096757591355
ATP1A1	4.1556177	1.1262085	3.244101881721124e-05	0.0008698481917458553	0.32372619660319096
STON2	4.139763	1.0978789	3.476649497964863e-05	0.0009222031175857953	0.32681420483787954
MIR3142HG	4.055168	1.5552813	5.0098237161420745e-05	0.0012775292496631668	0.2712300566134843
SLC35D1	4.0224614	1.2836272	5.759313909832964e-05	0.0014504174107079076	0.29336078229541945
AVIL	4.013647	1.004502	5.978774872844616e-05	0.0014928836822988454	0.33453422542460115
SAMMSON	4.0038905	1.4466912	6.230926671702664e-05	0.001547063477387097	0.25784868759650026
APRG1	3.9984577	1.4320517	6.375659561620512e-05	0.001577064506184163	0.2717447246525991
GTDC1	3.9778357	1.433225	6.954543382174495e-05	0.0017050774915104748	0.2655687081832218
ENSG00000258666	3.9055476	1.1018729	9.401225802635357e-05	0.0022114666007928253	0.3412249099330932
ENSG00000231424	3.9034965	1.2723085	9.481293683820974e-05	0.002226332599618211	0.3118888317035512
EPHA3	3.8600905	1.3593353	0.00011334508442497141	0.0025968027892606517	0.2712300566134843
ZNF516	3.8242235	1.0711747	0.00013118483115232016	0.002941683303825986	0.319094184251158
LRRC23	3.7789881	1.1166881	0.0001574669189522829	0.003457591008242598	0.2928461142563047
DNAJC16	3.7560933	1.000106	0.00017258640806714877	0.003742870228526095	0.3221821924858466
C16orf95	3.7292624	1.152806	0.00019204106789946724	0.00407856395261652	0.31960885229027275
AAR2	3.6472733	1.1923329	0.0002650380716767642	0.00538917552062006	0.2727740607308286
CRTC1	3.6318066	1.3999627	0.0002814439325881856	0.005664685208267967	0.23160061760164694
TYK2	3.6267066	1.0698007	0.0002870591492998929	0.005739660702630359	0.30262480699948535
SLC4A8	3.6193337	1.4075413	0.00029536258551552953	0.005887843443739706	0.2341739577972208
DOCK3	3.6071932	1.090415	0.0003095270962098173	0.006137752554669953	0.28049408131755016
ZNF320	3.5852962	1.6212573	0.0003366958155517531	0.006602089643281887	0.22696860524961399
ZNF335	3.5630112	1.0400863	0.0003666251407804924	0.007073346009224806	0.2923314462171899
RGL1	3.5429435	1.2752326	0.00039568755578171897	0.007562188022988348	0.2326299536798765
RAD51-AS1	3.5337965	1.0097653	0.00040963623442758954	0.007811798508126713	0.31240349974266596
DGCR2	3.4783056	1.0687643	0.0005045943818385149	0.009302035093262944	0.28615542974781266
IL3RA	3.4642248	1.3215976	0.0005317616991324017	0.00973286166796219	0.24601132269686052
ARHGAP25	3.4542465	1.2733325	0.0005518327151398571	0.010032723943097956	0.2527020072053526
CCND1	3.428192	1.4936258	0.0006076160416320681	0.010901978373076255	0.21204323211528564
ZNF248	3.424145	1.0789553	0.0006167370663072085	0.011058112358047661	0.30262480699948535
PWWP3A	3.4173818	1.3966665	0.0006322653101885364	0.011282879196623423	0.2254246011322697
PTPN23	3.4131687	2.2486603	0.0006421216890725096	0.011427860916851482	0.1791044776119403
ENSG00000251095	3.394875	1.310982	0.0006865993970108938	0.01211324724953778	0.23674729799279465
SLC25A25	3.3606713	1.2326226	0.0007775331274391087	0.013500941995066051	0.2480699948533196
ANKRD17-DT	3.3600614	1.130907	0.0007792513574794369	0.013512996766067528	0.244981986618631
MIRLET7IHG	3.34332	1.1075312	0.0008278240553012595	0.014196725335650513	0.2640247040658775
CFAP20DC	3.3274653	1.0625911	0.0008763989180690766	0.014846467679459012	0.2681420483787957
NIF3L1	3.3180413	1.1100683	0.0009065108380216293	0.01525193721545989	0.2588780236747298
CLIC2	3.3111672	1.3330055	0.0009290765312603848	0.015539364315307563	0.23829130211013896
ZNF682	3.2991931	1.2610263	0.0009696315609014019	0.016108584207668548	0.22748327328872878
L3MBTL4	3.2935941	1.4591267	0.0009891519206975269	0.01635757308456756	0.2094698919197118
ATF5	3.2917094	1.0139441	0.0009958045647049738	0.016436691604914556	0.2660833762223366
RNPEPL1	3.2912104	1.3227586	0.0009975724794728906	0.016445303217194254	0.22285126093669583
FBXL14	3.2888267	1.1131306	0.00100605936032762	0.01656017739238323	0.2547606793618116
UBE2L6	3.239101	1.0938904	0.0011990709625317357	0.019214984768731087	0.24189397838394236
LDLRAD4	3.215929	1.0244992	0.0013002302030012632	0.020598424818614854	0.2691713844570252
ENSG00000291006	3.1893754	1.296587	0.0014258063740851387	0.022306643527699507	0.23314462171899125
TNFRSF10D	3.1830556	1.0211354	0.0014572960407591136	0.02269168991371993	0.2717447246525991
CTH	3.1810045	1.01347	0.001467653345764463	0.022826031087072172	0.2784354091610911
FTCDNL1	3.161214	1.4289845	0.0015711300833423294	0.02416914193205034	0.20174987133299022
IRF9	3.1552825	1.5207522	0.0016034281175110483	0.02457565522965685	0.21718991250643335
BCL2L1	3.1294494	1.183601	0.0017513420925801895	0.026443462156446763	0.2377766340710242
RAB8B	3.1205244	1.4487227	0.0018052939581702043	0.027133897174251822	0.20638188368502317
SNX16	3.1171427	1.03162	0.0018261313079685308	0.027400274935311785	0.24961399897066391
MAML2	3.0946913	1.2069305	0.0019701781651391215	0.02913104331233436	0.21770458054554812
SAMD4A	3.0880945	1.3938227	0.0020144440477259974	0.02966920856675907	0.2094698919197118
DAG1	3.0874846	1.0644991	0.0020185815959489323	0.029697003378974456	0.25939269171384455
ENSG00000290812	3.0783932	1.7312108	0.002081200650426612	0.030471075387198485	0.18322182192485847
CLPB	3.0695791	1.178105	0.0021436069644284	0.03122307870428188	0.22027792074112199
LINC02466	3.055554	1.5926203	0.00224645288516608	0.03250003084746293	0.18682449819866187
FNBP1L	3.040808	1.1171954	0.002359442780733358	0.033807151635122434	0.2249099330931549
SSTR3	3.0044422	1.3890965	0.002660683048002428	0.03765330170827243	0.20483787956767885
ZNF337	3.0008943	2.0257888	0.0026918796516352448	0.03806824178674883	0.159547092125579
ENSG00000247134	2.9803832	1.0142471	0.0028788803781015283	0.0403517205625245	0.2341739577972208
SEC61A2	2.9715135	1.0297068	0.00296335876115325	0.04129457644303998	0.23108594956253217
CCDC134	2.9538848	1.2303082	0.003138009653158263	0.04336203600827541	0.2058672156459084
ENSG00000271533	2.9344826	1.4580716	0.003341043930786638	0.045712893968507896	0.18322182192485847
